//
// Structure of Database:
// GroupID,ItemID,Rate
//

// Ores
IG_Ore,7289,1	// かんらん石
IG_Advanced_Weapons_Box,1963,5	// Rapture_Rose
IG_Advanced_Weapons_Box,1964,5	// Chemeti_Whip
IG_Advanced_Weapons_Box,1969,5	// Blade_Whip
IG_Advanced_Weapons_Box,1970,5	// Queen's_Whip
IG_Advanced_Weapons_Box,1972,5	// Electric_Eel
IG_Advanced_Weapons_Box,1973,5	// Sea_Witch_Foot
IG_Advanced_Weapons_Box,1974,5	// Carrot_Whip
IG_Advanced_Weapons_Box,1976,5	// Queen's_Whip_
IG_Advanced_Weapons_Box,1979,5	// Stem_Of_Nepenthes
IG_Advanced_Weapons_Box,1984,2	// Stem_Whip
IG_Advanced_Weapons_Box,1985,1	// Rose_Vine
IG_Advanced_Weapons_Box,2000,1	// Destruction_Rod
IG_Advanced_Weapons_Box,2001,5	// Divine_Cross
IG_Advanced_Weapons_Box,2004,5	// Kronos
IG_Advanced_Weapons_Box,2005,5	// Dea_Staff
IG_Advanced_Weapons_Box,13046,5	// Krieg
IG_Advanced_Weapons_Box,13047,5	// Weihna
IG_Advanced_Weapons_Box,13061,5	// Black_Wing
IG_Advanced_Weapons_Box,13062,1 // Ancient_Dagger
IG_Advanced_Weapons_Box,13421,5	// Ruber
IG_Advanced_Weapons_Box,13431,2	// Chrome_Metal_Sword
IG_Advanced_Weapons_Box,16000,5	// Erde
IG_Advanced_Weapons_Box,16001,5	// Red_Square_Bag
IG_Advanced_Weapons_Box,16010,5	// Red_Ether_Bag
IG_Advanced_Weapons_Box,18103,5	// Mystic_Bow
IG_Advanced_Weapons_Box,1476,1	// Crescent_Scythe_
IG_Advanced_Weapons_Box,1526,5	// Slash
IG_Advanced_Weapons_Box,1290,1	// Agent_Katar
IG_Advanced_Weapons_Box,1291,1	// Guillotine_Katar
IG_Advanced_Weapons_Box,1392,1	// Ygnus_Stale
IG_Advanced_Weapons_Box,1393,1	// End_Sektura
IG_Advanced_Weapons_Box,1435,1	// Cannon_Spear
IG_Advanced_Weapons_Box,1584,1	// Chilly_Spell_Book
IG_Advanced_Weapons_Box,1659,1	// Recovery_Light
IG_Advanced_Weapons_Box,13069,1	// Aztoe_Nail
IG_Advanced_Weapons_Box,13070,1	// Scarletto_Nail
IG_Advanced_Weapons_Box,16017,1	// Bloody_Cross
IG_Advanced_Weapons_Box,18109,1	// Catapult
IG_Advanced_Weapons_Box,18110,1	// Big_CrossBow
IG_Advanced_Weapons_Box,18111,1	// Creeper_Bow
